"@timestamp",el,ea,ev,ec,uid
"March 17th 2020, 09:09:15.932",time,DerivativeNormal,221,OrderTiming,6688
"March 17th 2020, 09:08:56.182",time,DerivativeNormal,215,OrderTiming,6688
"March 17th 2020, 09:08:45.206",time,DerivativeNormal,223,OrderTiming,6688
"March 17th 2020, 09:07:25.325",time,DerivativeNormal,213,OrderTiming,6688
"March 17th 2020, 09:07:11.319",time,DerivativeNormal,218,OrderTiming,6688
"March 17th 2020, 09:06:53.068",time,DerivativeNormal,218,OrderTiming,6688
"March 17th 2020, 09:01:28.369",time,DerivativeNormal,219,OrderTiming,6688
"March 17th 2020, 09:01:15.206",time,DerivativeNormal,212,OrderTiming,6688
"March 17th 2020, 09:01:02.220",time,DerivativeNormal,214,OrderTiming,6688
"March 17th 2020, 08:59:15.785",time,DerivativeNormal,227,OrderTiming,6688
